date,ndt_server,upload_throughput,download_throughput
2015-04-06T04:07:40-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.68,47.02
2015-04-06T12:08:07-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,9.77,15.4
2015-04-06T12:08:30-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.64,50.7
2015-04-06T12:08:54-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.67,37.84
2015-04-06T12:09:18-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.61,12.51
2015-04-06T12:09:41-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.64,51.53
2015-04-06T22:10:09-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,9.97,43.4
2015-04-06T22:10:33-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,8.61,14.56
2015-04-06T22:10:59-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,8.37,13.9
2015-04-06T22:11:23-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.69,47.65
2015-04-06T22:11:49-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.57,11.32
2015-04-07T05:12:14-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.69,54.7
2015-04-07T05:12:40-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.53,17.9
2015-04-07T05:13:04-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.69,41.81
2015-04-07T05:13:30-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.62,53.64
2015-04-07T05:13:54-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.68,46.29
2015-04-07T12:14:20-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.67,44.32
2015-04-07T12:14:44-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.66,49.7
2015-04-07T12:15:11-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.59,19.93
2015-04-07T12:15:35-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.48,30.44
2015-04-07T12:15:59-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.66,91.98
2015-04-10T20:07:57-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.64,68.07
2015-04-10T20:08:22-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.02,15.26
2015-04-10T20:08:47-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.52,14.67
2015-04-10T20:09:10-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,9.89,42.45
2015-04-10T20:09:34-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.57,39.29
2015-04-11T02:10:01-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.63,90.01
2015-04-11T02:10:25-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.64,64.29
2015-04-11T02:10:49-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.57,28.81
2015-04-11T02:11:14-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.54,28.59
2015-04-11T02:11:37-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.66,74.67
2015-04-11T09:12:04-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.57,52.7
2015-04-11T09:12:28-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.53,30.7
2015-04-11T09:12:55-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.55,25.29
2015-04-11T09:13:18-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.63,62.22
2015-04-11T09:13:42-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.61,68.35
2015-04-11T15:14:09-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.48,14.2
2015-04-11T15:14:33-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,9.2,65.67
2015-04-11T15:14:56-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,9.77,53.28
2015-04-11T15:15:22-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.57,68.61
2015-04-11T15:15:46-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,7.6,35.92
2015-04-11T21:16:14-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.61,57.13
2015-04-11T21:16:38-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.68,70.76
2015-04-11T21:17:02-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,3.83,54.39
